epoch,train_loss,val_loss,train_action_accuracy,val_action_accuracy,grad_norm_mean,grad_norm_max,eval_mean_return,eval_return_std,eval_return_min,eval_return_max,eval_success_rate,eval_length_mean,eval_length_std,eval_action_counts_json,best_val_return,learning_rate,epoch_time_sec,model_label
4,0.4434315982129839,0.4393815724054972,0.8340706836616454,0.8346883468834688,0.2767718245751328,1.3398724794387815,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2502, 2498]",500.0,0.0004625472619562,76.90418100357056,gru
5,0.4425348125122211,0.4380880073706309,0.8347288528389339,0.837575568063373,0.2384119615069142,1.886722207069397,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2499, 2501]",500.0,0.0002286776232886,79.17954969406128,gru
6,0.4414377802831155,0.4371609119574229,0.8353522595596755,0.8389618511569731,0.2132825476814199,3.16164779663086,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2491, 2509]",500.0,6.087519521458018e-05,80.58065676689148,gru
7,0.4409769678998876,0.436891408363978,0.8358122827346466,0.8388055034396498,0.1991749878503658,2.4130001068115234,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2488, 2512]",500.0,0.0,73.02390146255493,gru
1,0.5909233811608067,0.5157402129968007,0.7008041714947856,0.7801021471753179,0.5006314264513828,2.661385297775269,9.4,0.6633249580710799,9.0,11.0,0.0,9.4,0.6633249580710799,"[0, 94]",9.4,0.0009943891696521,50.228291749954224,lstm
2,0.5025118719206916,0.4836765551567077,0.7958968713789107,0.8135918282259745,1.153680079402747,7.053484916687012,16.6,4.24735211631906,11.0,21.0,0.0,16.6,4.24735211631906,"[71, 95]",16.6,0.0008984777411839,39.78252649307251,lstm
3,0.4635122012209009,0.4468860765298207,0.8218088064889919,0.8320721284135918,0.7931454607513215,4.372946739196777,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2480, 2520]",500.0,0.0007055366715828,76.45495271682739,lstm
4,0.4483317632586868,0.4402679105599721,0.8312572421784473,0.8368459453825308,0.5167693209648132,7.34601879119873,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2491, 2509]",500.0,0.0004625472619562,75.30374073982239,lstm
5,0.4451736784422839,0.4382472769419352,0.8332931633835458,0.8397123202001251,0.3985953402739984,1.5349925756454468,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2501, 2499]",500.0,0.0002286776232886,80.74825263023376,lstm
6,0.4436547007825639,0.4383787675698598,0.8343557358053303,0.8388263498019596,0.3717890395279284,3.226195335388184,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2496, 2504]",500.0,6.087519521458018e-05,74.25937294960022,lstm
7,0.4428566236407668,0.4381371963024139,0.8346697566628042,0.8384823848238483,0.3447186361639588,1.5311439037322998,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2499, 2501]",500.0,0.0,85.76597905158997,lstm
1,0.5927037798475336,0.5068486944834392,0.6949130938586326,0.7824682092974776,0.6574482403419636,5.810253620147705,366.5,111.71414413582552,134.0,500.0,0.3,366.5,111.71414413582552,"[1856, 1809]",366.5,0.0009943891696521,90.3438274860382,tdm decay=0.7
2,0.5016460658444298,0.4883780666192372,0.7917972190034762,0.8047425474254742,0.6339688595136007,2.718203067779541,193.2,87.75967183165623,134.0,452.0,0.1,193.2,87.75967183165623,"[994, 938]",366.5,0.0008984777411839,72.68259525299072,tdm decay=0.7
3,0.4849878893516682,0.4692197648684184,0.8063290845886443,0.8164373566812592,0.6409967708808404,1.876368761062622,460.2,101.68854409420956,157.0,500.0,0.9,460.2,101.68854409420956,"[2310, 2292]",460.2,0.0007055366715828,98.06770515441896,tdm decay=0.7
4,0.470607296316712,0.4578743990262349,0.8150834298957126,0.8198978528246821,0.6288494504381109,4.240248680114746,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2479, 2521]",500.0,0.0004625472619562,103.36190009117126,tdm decay=0.7
5,0.4642020338111453,0.4524670966466267,0.8188331402085748,0.8284448613716906,0.5742978891399172,1.4298057556152344,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2494, 2506]",500.0,0.0002286776232886,102.16066837310792,tdm decay=0.7
6,0.4595720469951629,0.4499127487341562,0.8221819235225956,0.8296852199291224,0.5659615329459862,2.1326024532318115,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2496, 2504]",500.0,6.087519521458018e-05,101.1664400100708,tdm decay=0.7
7,0.4579132235933233,0.449242650270462,0.8226906141367323,0.8289034813425057,0.5343987373510997,2.803293466567993,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2489, 2511]",500.0,0.0,102.59392476081848,tdm decay=0.7
